id_string,customer_id_string,lender_state,origination_date,due_date,term_weeks,principal_amount,total_due_amount,paid_amount,fee_amount,collateral_assessed,collateral_sold,defaulted
0026,0013,FL,2018-07-06,2018-09-28,12,980.0,1280.0,1280.0400000000002,20.0,4920.34,0.0,0
0027,0013,TN,2014-09-13,2014-12-06,12,810.0,1110.0,0.0,0.0,6009.63,5313.15,1
0028,0013,FL,2018-04-28,2018-05-26,4,1020.0,1120.0,1120.0,20.0,4666.02,0.0,0
0029,0013,FL,2012-11-26,2012-12-24,4,900.0,1000.0,0.0,0.0,4865.48,4486.65,1
0030,0013,AL,2013-08-17,2013-09-14,4,800.0,900.0,900.0,0.0,4447.34,0.0,0
0031,0014,TN,2014-03-11,2014-05-06,8,730.0,930.0,930.0,20.0,5641.64,0.0,0
0032,0014,FL,2016-04-28,2016-06-23,8,700.0,900.0,900.0,0.0,6610.03,0.0,0
0033,0014,AL,2019-11-30,2019-12-28,4,1270.0,1370.0,1370.0,0.0,7042.88,0.0,0
0034,0014,TN,2018-12-14,2019-03-08,12,960.0,1260.0,1260.0,0.0,7244.7,0.0,0
0035,0015,FL,2019-01-09,2019-02-06,4,940.0,1040.0,1040.0,0.0,5541.77,0.0,0
0036,0016,FL,2016-04-26,2016-05-24,4,620.0,720.0,720.0,20.0,5502.39,0.0,0
0037,0016,TN,2019-10-14,2019-12-09,8,860.0,1060.0,0.0,0.0,5101.39,4332.15,1
0038,0017,MS,2015-06-22,2015-07-20,4,1110.0,1210.0,1210.0,20.0,6727.59,0.0,0
0039,0017,MS,2013-05-22,2013-08-14,12,1280.0,1580.0,1580.0400000000002,20.0,7023.52,0.0,0
0040,0017,MS,2019-03-07,2019-04-04,4,1350.0,1450.0,1450.0,0.0,7996.16,0.0,0
0041,0018,MS,2017-01-28,2017-02-25,4,700.0,800.0,800.0,0.0,4666.02,0.0,0
0042,0018,FL,2018-05-12,2018-07-07,8,660.0,860.0,860.0,20.0,4491.08,0.0,0
0043,0018,TN,2012-07-04,2012-08-01,4,990.0,1090.0,1090.0,20.0,5932.11,0.0,0
0044,0018,MS,2014-03-31,2014-04-28,4,850.0,950.0,950.0,0.0,4583.84,0.0,0
0045,0018,AL,2016-11-21,2017-02-13,12,840.0,1140.0,1140.0,40.0,4472.4,0.0,0
0046,0019,FL,2016-08-08,2016-09-05,4,1020.0,1120.0,1120.0,20.0,5506.92,0.0,0
0047,0020,FL,2016-12-12,2017-01-09,4,1560.0,1660.0,0.0,0.0,7567.9,6289.84,1
0048,0021,AL,2015-10-24,2015-11-21,4,1340.0,1440.0,1440.0,0.0,7273.32,0.0,0
0049,0022,MS,2014-06-04,2014-08-27,12,1130.0,1430.0,1430.0400000000002,20.0,6504.88,0.0,0
0050,0023,MS,2013-09-11,2013-10-09,4,920.0,1020.0,1020.0,0.0,4850.83,0.0,0
0051,0024,FL,2017-01-20,2017-02-17,4,870.0,970.0,970.0,0.0,4501.1,0.0,0
0052,0024,FL,2015-11-10,2015-12-08,4,1050.0,1150.0,1150.0,0.0,5970.06,0.0,0
0053,0024,AL,2012-02-17,2012-03-16,4,1200.0,1300.0,1300.0,20.0,5854.88,0.0,0
0054,0024,FL,2014-08-03,2014-09-28,8,840.0,1040.0,1040.0,0.0,3842.99,0.0,0
0055,0025,FL,2018-04-09,2018-07-02,12,1030.0,1330.0,1329.96,0.0,5142.68,0.0,0
0056,0025,MS,2018-12-16,2019-02-10,8,700.0,900.0,900.0,0.0,5040.68,0.0,0
0057,0026,FL,2014-10-30,2014-11-27,4,980.0,1080.0,1080.0,0.0,7059.76,0.0,0
0058,0027,MS,2013-08-31,2013-09-28,4,750.0,850.0,850.0,20.0,4528.51,0.0,0
0059,0028,FL,2013-04-18,2013-05-16,4,560.0,660.0,0.0,0.0,4591.07,3952.45,1
0060,0028,FL,2018-05-05,2018-06-02,4,420.0,520.0,0.0,0.0,3966.57,0.0,1
0061,0029,FL,2015-08-19,2015-09-16,4,870.0,970.0,970.0,0.0,5831.04,0.0,0
0062,0029,FL,2012-05-16,2012-08-08,12,780.0,1080.0,1080.0,0.0,6208.02,0.0,0
0063,0030,MS,2016-05-21,2016-08-13,12,910.0,1210.0,1209.96,0.0,7310.05,0.0,0
0064,0031,FL,2014-07-14,2014-10-06,12,1330.0,1630.0,1629.9599999999998,40.0,7326.0,0.0,0
0065,0032,FL,2015-02-24,2015-04-21,8,1380.0,1580.0,1580.0,0.0,7105.1,0.0,0
0066,0032,FL,2013-06-27,2013-07-25,4,1080.0,1180.0,1180.0,0.0,8630.25,0.0,0
0067,0033,FL,2019-03-31,2019-04-28,4,1120.0,1220.0,1220.0,0.0,7270.94,0.0,0
0068,0034,FL,2017-11-18,2018-02-10,12,1100.0,1400.0,1400.0400000000002,0.0,4519.41,0.0,0
0069,0034,FL,2019-01-07,2019-04-01,12,720.0,1020.0,1020.0,20.0,4357.46,0.0,0
0070,0034,FL,2018-07-07,2018-08-04,4,1060.0,1160.0,1160.0,20.0,4509.85,0.0,0
0071,0034,MS,2019-05-11,2019-06-08,4,830.0,930.0,0.0,0.0,4880.02,4174.72,1
0072,0034,FL,2016-05-24,2016-06-21,4,910.0,1010.0,1010.0,0.0,6338.32,0.0,0
0073,0035,FL,2019-12-23,2020-01-20,4,520.0,620.0,620.0,0.0,2507.95,0.0,0
0074,0036,FL,2013-10-20,2013-12-15,8,1270.0,1470.0,1470.0,20.0,7512.03,0.0,0
0075,0036,MS,2019-12-09,2020-01-06,4,1810.0,1910.0,1910.0,0.0,9109.86,0.0,0
0076,0036,FL,2019-01-04,2019-02-01,4,1060.0,1160.0,1160.0,0.0,8310.52,0.0,0
0077,0037,FL,2018-10-19,2018-12-14,8,1500.0,1700.0,1700.0,0.0,9893.96,0.0,0
0078,0037,TN,2013-03-31,2013-04-28,4,2280.0,2380.0,2380.0,20.0,11031.23,0.0,0
0079,0038,AL,2017-09-03,2017-10-29,8,950.0,1150.0,1150.0,0.0,5786.53,0.0,0
0080,0038,FL,2013-07-23,2013-09-17,8,950.0,1150.0,1150.0,0.0,3872.02,0.0,0
0081,0038,FL,2017-03-12,2017-04-09,4,940.0,1040.0,1040.0,0.0,4645.56,0.0,0
0082,0038,FL,2014-04-11,2014-05-09,4,700.0,800.0,800.0,0.0,4523.11,0.0,0
0083,0038,AL,2019-06-10,2019-07-08,4,980.0,1080.0,0.0,0.0,4148.21,0.0,1
0084,0039,TN,2019-08-08,2019-10-31,12,1900.0,2200.0,2199.9599999999996,20.0,10342.68,0.0,0
0085,0039,FL,2015-01-25,2015-02-22,4,1860.0,1960.0,1960.0,0.0,10480.8,0.0,0
0086,0039,AL,2016-11-12,2016-12-10,4,1600.0,1700.0,1700.0,0.0,9522.07,0.0,0
0087,0040,FL,2018-08-09,2018-11-01,12,510.0,810.0,810.0,40.0,4282.5,0.0,0
0088,0041,FL,2018-05-19,2018-06-16,4,790.0,890.0,890.0,0.0,6776.61,0.0,0
0089,0041,FL,2012-05-19,2012-06-16,4,780.0,880.0,880.0,0.0,5431.8,0.0,0
0090,0041,FL,2013-10-10,2013-12-05,8,1180.0,1380.0,0.0,0.0,6130.09,4395.52,1
0091,0042,AL,2017-10-09,2017-11-06,4,1730.0,1830.0,0.0,0.0,7747.18,6638.23,1
0092,0043,FL,2017-04-14,2017-06-09,8,880.0,1080.0,1080.0,0.0,5360.88,0.0,0
0093,0043,MS,2015-09-21,2015-10-19,4,1300.0,1400.0,1400.0,20.0,7393.4,0.0,0
0094,0044,AL,2017-01-25,2017-02-22,4,870.0,970.0,0.0,0.0,6587.77,5871.54,1
0095,0045,TN,2014-10-15,2014-12-10,8,1760.0,1960.0,1960.0,20.0,7932.89,0.0,0
0096,0046,FL,2016-01-09,2016-03-05,8,730.0,930.0,0.0,0.0,4944.37,4095.77,1
0097,0046,FL,2012-07-15,2012-09-09,8,970.0,1170.0,1170.0,0.0,5895.7,0.0,0
0098,0046,FL,2012-06-17,2012-08-12,8,1090.0,1290.0,0.0,0.0,4915.63,4724.3,1
0099,0046,FL,2013-05-30,2013-08-22,12,930.0,1230.0,0.0,0.0,4915.04,4156.37,1
0100,0047,FL,2018-12-15,2019-02-09,8,950.0,1150.0,1150.0,0.0,6407.81,0.0,0
0101,0047,AL,2014-05-14,2014-07-09,8,800.0,1000.0,1000.0,20.0,5966.59,0.0,0
0102,0047,FL,2014-09-20,2014-10-18,4,910.0,1010.0,1010.0,0.0,6649.69,0.0,0
0103,0047,FL,2012-06-16,2012-09-08,12,840.0,1140.0,0.0,0.0,4576.61,3917.56,1
0104,0047,AL,2017-08-29,2017-09-26,4,650.0,750.0,0.0,0.0,5946.09,0.0,1
0105,0047,FL,2013-03-30,2013-06-22,12,570.0,870.0,870.0,20.0,4010.76,0.0,0
0106,0048,FL,2012-10-15,2012-11-12,4,1540.0,1640.0,1640.0,0.0,7875.58,0.0,0
0107,0049,FL,2012-10-10,2012-11-07,4,840.0,940.0,940.0,20.0,5842.12,0.0,0
0108,0050,FL,2019-03-25,2019-05-20,8,1040.0,1240.0,1240.0,0.0,7048.29,0.0,0
0109,0051,FL,2014-09-28,2014-10-26,4,870.0,970.0,0.0,0.0,4593.03,3721.43,1
0110,0051,AL,2019-11-06,2019-12-04,4,510.0,610.0,0.0,0.0,4531.36,0.0,1
0111,0051,TN,2014-01-02,2014-02-27,8,640.0,840.0,840.0,0.0,3776.74,0.0,0
0112,0051,FL,2013-11-01,2014-01-24,12,600.0,900.0,900.0,0.0,3434.94,0.0,0
0113,0051,AL,2016-06-05,2016-07-03,4,520.0,620.0,0.0,0.0,4687.49,3582.88,1
0114,0052,FL,2015-03-01,2015-03-29,4,1200.0,1300.0,1300.0,0.0,5588.92,0.0,0
0115,0052,FL,2014-12-10,2015-01-07,4,940.0,1040.0,1040.0,0.0,5578.43,0.0,0
0116,0052,FL,2018-12-10,2019-01-07,4,1280.0,1380.0,1380.0,0.0,6220.27,0.0,0
0117,0052,MS,2012-04-18,2012-06-13,8,1030.0,1230.0,1230.0,0.0,6551.99,0.0,0
0118,0052,FL,2019-11-20,2020-01-15,8,1030.0,1230.0,0.0,0.0,5577.21,5289.87,1
0119,0052,FL,2017-03-02,2017-03-30,4,990.0,1090.0,1090.0,0.0,5712.49,0.0,0
0120,0052,MS,2016-04-12,2016-05-10,4,1200.0,1300.0,0.0,0.0,6244.19,4851.7,1
0121,0053,FL,2016-11-21,2017-02-13,12,630.0,930.0,930.0,0.0,4031.14,0.0,0
0122,0053,MS,2018-12-15,2019-03-09,12,920.0,1220.0,0.0,0.0,5324.74,0.0,1
0123,0053,FL,2015-09-02,2015-09-30,4,850.0,950.0,950.0,0.0,5400.02,0.0,0
0124,0054,FL,2012-05-05,2012-07-28,12,830.0,1130.0,1130.04,20.0,5505.69,0.0,0
0125,0054,FL,2014-10-08,2014-11-05,4,590.0,690.0,0.0,0.0,4458.52,4241.16,1
0126,0055,AL,2014-08-01,2014-08-29,4,900.0,1000.0,1000.0,0.0,4516.44,0.0,0
0127,0056,MS,2016-07-28,2016-08-25,4,920.0,1020.0,1020.0,0.0,7414.64,0.0,0
0128,0057,FL,2019-12-03,2020-01-28,8,470.0,670.0,0.0,0.0,3028.99,2256.91,1
0129,0058,FL,2018-09-19,2018-12-12,12,1130.0,1430.0,1430.0400000000002,20.0,4780.35,0.0,0
0130,0059,FL,2018-03-11,2018-05-06,8,960.0,1160.0,0.0,0.0,7124.5,6931.46,1
0131,0060,TN,2013-03-15,2013-04-12,4,660.0,760.0,760.0,0.0,4877.5,0.0,0
0132,0060,TN,2014-08-14,2014-09-11,4,540.0,640.0,640.0,0.0,4152.76,0.0,0
0133,0061,AL,2015-06-04,2015-07-30,8,880.0,1080.0,1080.0,0.0,3694.72,0.0,0
0134,0062,FL,2018-10-23,2018-11-20,4,790.0,890.0,890.0,0.0,4739.7,0.0,0
0135,0062,TN,2017-04-29,2017-05-27,4,480.0,580.0,580.0,0.0,4554.7,0.0,0
0136,0063,FL,2012-12-21,2013-01-18,4,800.0,900.0,0.0,0.0,4508.0,3528.55,1
0137,0063,AL,2019-05-05,2019-06-02,4,840.0,940.0,940.0,20.0,4349.15,0.0,0
0138,0063,FL,2014-05-07,2014-06-04,4,970.0,1070.0,1070.0,0.0,4582.45,0.0,0
0139,0064,FL,2015-03-19,2015-05-14,8,1010.0,1210.0,0.0,0.0,5221.68,4800.85,1
0140,0065,FL,2019-07-10,2019-08-07,4,530.0,630.0,630.0,0.0,3015.93,0.0,0
0141,0065,FL,2018-06-11,2018-09-03,12,880.0,1180.0,1179.96,20.0,4685.22,0.0,0
0142,0066,FL,2013-09-13,2013-12-06,12,1090.0,1390.0,1389.9599999999998,0.0,5628.26,0.0,0
0143,0066,FL,2012-01-15,2012-03-11,8,810.0,1010.0,1010.0,20.0,4903.15,0.0,0
0144,0066,TN,2015-05-26,2015-06-23,4,1120.0,1220.0,1220.0,0.0,7147.63,0.0,0
0145,0066,AL,2012-12-26,2013-01-23,4,1210.0,1310.0,1310.0,0.0,6081.18,0.0,0
0146,0066,TN,2018-06-18,2018-07-16,4,920.0,1020.0,1020.0,0.0,5269.48,0.0,0
0147,0067,AL,2019-12-13,2020-03-06,12,1260.0,1560.0,1560.0,40.0,5974.79,0.0,0
0148,0067,FL,2015-07-18,2015-09-12,8,850.0,1050.0,1050.0,20.0,5575.78,0.0,0
0149,0068,FL,2012-11-16,2012-12-14,4,700.0,800.0,800.0,0.0,6737.13,0.0,0
0150,0068,TN,2019-10-26,2020-01-18,12,670.0,970.0,969.9599999999999,0.0,5000.14,0.0,0
0151,0068,FL,2013-04-07,2013-05-05,4,790.0,890.0,0.0,0.0,6052.36,6009.11,1
0152,0068,TN,2013-06-10,2013-07-08,4,1070.0,1170.0,1170.0,0.0,5584.57,0.0,0
0153,0068,FL,2017-02-13,2017-03-13,4,450.0,550.0,550.0,40.0,3751.06,0.0,0
0154,0069,FL,2013-11-21,2014-01-16,8,720.0,920.0,920.0,40.0,6208.73,0.0,0
0155,0070,FL,2017-01-08,2017-02-05,4,920.0,1020.0,1020.0,0.0,4694.16,0.0,0
0156,0070,FL,2012-03-13,2012-04-10,4,1410.0,1510.0,1510.0,20.0,7161.36,0.0,0
0157,0070,FL,2012-09-01,2012-09-29,4,840.0,940.0,940.0,0.0,4641.86,0.0,0
0158,0070,AL,2014-09-12,2014-10-10,4,1240.0,1340.0,0.0,0.0,6699.81,5880.0,1
0159,0071,FL,2017-03-07,2017-04-04,4,800.0,900.0,900.0,0.0,4304.62,0.0,0
0160,0071,FL,2019-12-09,2020-02-03,8,1080.0,1280.0,1280.0,40.0,4991.0,0.0,0
0161,0072,AL,2012-02-08,2012-03-07,4,1310.0,1410.0,1410.0,0.0,7911.78,0.0,0
0162,0072,FL,2016-04-25,2016-05-23,4,1040.0,1140.0,1140.0,20.0,8152.48,0.0,0
0163,0072,AL,2019-03-24,2019-04-21,4,1460.0,1560.0,0.0,0.0,7513.29,7038.94,1
0164,0073,FL,2014-09-20,2014-10-18,4,820.0,920.0,920.0,0.0,4654.92,0.0,0
0165,0074,FL,2018-04-29,2018-05-27,4,1480.0,1580.0,0.0,0.0,7266.2,6548.59,1
0166,0075,TN,2017-01-26,2017-02-23,4,430.0,530.0,530.0,0.0,3621.34,0.0,0
0167,0076,AL,2016-11-04,2016-12-02,4,410.0,510.0,510.0,0.0,2838.67,0.0,0
0168,0077,AL,2012-09-13,2012-10-11,4,790.0,890.0,890.0,20.0,4771.29,0.0,0
0169,0078,FL,2018-12-31,2019-03-25,12,1080.0,1380.0,1380.0,20.0,5451.17,0.0,0
0170,0079,FL,2019-03-20,2019-05-15,8,790.0,990.0,990.0,20.0,5844.24,0.0,0
0171,0079,AL,2013-10-23,2013-11-20,4,770.0,870.0,870.0,20.0,5156.82,0.0,0
0172,0080,FL,2013-10-11,2014-01-03,12,670.0,970.0,969.9600000000002,0.0,4336.23,0.0,0
0173,0081,AL,2018-11-16,2018-12-14,4,770.0,870.0,0.0,0.0,4076.84,4063.09,1
0174,0081,FL,2013-11-09,2013-12-07,4,670.0,770.0,770.0,0.0,3382.96,0.0,0
0175,0081,FL,2017-03-06,2017-04-03,4,510.0,610.0,0.0,0.0,3681.43,3335.71,1
0176,0081,FL,2013-02-07,2013-04-04,8,860.0,1060.0,1060.0,0.0,4756.86,0.0,0
0177,0082,MS,2018-03-10,2018-04-07,4,880.0,980.0,0.0,0.0,5384.18,3817.89,1
0178,0083,FL,2016-10-18,2016-12-13,8,630.0,830.0,830.0,0.0,5657.33,0.0,0
0179,0084,FL,2015-07-02,2015-09-24,12,940.0,1240.0,1239.96,20.0,5140.09,0.0,0
0180,0084,FL,2017-06-16,2017-09-08,12,700.0,1000.0,999.9600000000002,40.0,6649.54,0.0,0
0181,0085,FL,2014-05-17,2014-06-14,4,1450.0,1550.0,1550.0,0.0,6903.94,0.0,0
0182,0086,FL,2018-09-25,2018-12-18,12,960.0,1260.0,1260.0,0.0,7753.06,0.0,0
0183,0087,FL,2016-11-05,2016-12-03,4,1430.0,1530.0,1530.0,0.0,8158.79,0.0,0
0184,0088,AL,2017-09-20,2017-10-18,4,1040.0,1140.0,1140.0,0.0,7401.0,0.0,0
0185,0089,TN,2013-06-19,2013-07-17,4,930.0,1030.0,0.0,0.0,4906.43,3981.78,1
0186,0090,FL,2017-10-07,2017-11-04,4,880.0,980.0,980.0,0.0,3880.55,0.0,0
0187,0090,FL,2019-03-27,2019-04-24,4,1210.0,1310.0,1310.0,0.0,6130.17,0.0,0
0188,0090,FL,2013-04-29,2013-05-27,4,1100.0,1200.0,1200.0,0.0,4757.56,0.0,0
0189,0090,MS,2015-03-28,2015-04-25,4,820.0,920.0,920.0,0.0,4179.29,0.0,0
0190,0091,TN,2018-05-23,2018-06-20,4,1050.0,1150.0,0.0,0.0,10104.22,7503.54,1
0191,0091,TN,2012-11-26,2012-12-24,4,1370.0,1470.0,0.0,0.0,10983.22,9577.51,1
0192,0091,FL,2016-07-30,2016-09-24,8,1270.0,1470.0,1470.0,0.0,8863.27,0.0,0
0193,0091,FL,2017-01-04,2017-02-01,4,1410.0,1510.0,1510.0,0.0,7982.44,0.0,0
0194,0092,FL,2016-07-10,2016-08-07,4,710.0,810.0,0.0,0.0,3381.43,2666.52,1
0195,0093,AL,2014-06-19,2014-07-17,4,590.0,690.0,690.0,20.0,5819.28,0.0,0
0196,0094,FL,2017-01-27,2017-02-24,4,700.0,800.0,800.0,0.0,4834.15,0.0,0
0197,0094,TN,2013-05-19,2013-07-14,8,930.0,1130.0,1130.0,20.0,6413.23,0.0,0
0198,0094,MS,2017-12-25,2018-01-22,4,950.0,1050.0,1050.0,0.0,4656.96,0.0,0
0199,0094,FL,2012-12-09,2013-01-06,4,1260.0,1360.0,1360.0,0.0,5677.72,0.0,0
0200,0094,AL,2016-07-28,2016-08-25,4,1040.0,1140.0,1140.0,0.0,4331.51,0.0,0
0201,0094,AL,2012-08-24,2012-09-21,4,1130.0,1230.0,1230.0,20.0,4670.81,0.0,0
0202,0094,FL,2018-04-02,2018-05-28,8,860.0,1060.0,1060.0,20.0,5064.0,0.0,0
0203,0095,FL,2014-11-12,2014-12-10,4,740.0,840.0,840.0,0.0,5353.33,0.0,0
0204,0095,TN,2019-08-05,2019-09-02,4,770.0,870.0,870.0,20.0,7154.1,0.0,0
0205,0095,AL,2018-12-28,2019-01-25,4,850.0,950.0,950.0,0.0,5446.28,0.0,0
0206,0096,AL,2015-03-06,2015-05-01,8,1610.0,1810.0,1810.0,20.0,9857.44,0.0,0
0207,0096,TN,2014-09-19,2014-10-17,4,1580.0,1680.0,1680.0,20.0,8800.26,0.0,0
0208,0097,FL,2016-10-16,2016-12-11,8,990.0,1190.0,1190.0,0.0,6308.15,0.0,0
0209,0097,FL,2018-08-10,2018-11-02,12,640.0,940.0,939.9599999999999,20.0,5475.8,0.0,0
0210,0097,FL,2018-01-04,2018-03-01,8,720.0,920.0,920.0,0.0,4612.2,0.0,0
0211,0098,FL,2014-02-06,2014-03-06,4,1010.0,1110.0,0.0,0.0,4766.2,4585.73,1
0212,0099,TN,2014-11-28,2014-12-26,4,800.0,900.0,0.0,0.0,4187.66,0.0,1
0213,0100,AL,2013-03-29,2013-04-26,4,1130.0,1230.0,0.0,0.0,7233.91,7079.54,1
0214,0101,AL,2016-09-04,2016-10-02,4,1460.0,1560.0,1560.0,0.0,7595.52,0.0,0
0215,0101,FL,2019-07-15,2019-08-12,4,1600.0,1700.0,1700.0,20.0,8185.07,0.0,0
0216,0102,AL,2016-04-11,2016-05-09,4,1240.0,1340.0,1340.0,0.0,5271.12,0.0,0
0217,0103,FL,2015-01-20,2015-02-17,4,990.0,1090.0,1090.0,0.0,3971.31,0.0,0
0218,0104,TN,2015-06-18,2015-07-16,4,880.0,980.0,980.0,0.0,5075.24,0.0,0
0219,0105,FL,2019-08-08,2019-09-05,4,810.0,910.0,0.0,0.0,7414.39,6157.26,1
0220,0105,FL,2017-06-20,2017-08-15,8,980.0,1180.0,1180.0,20.0,6266.6,0.0,0
0221,0105,FL,2014-01-02,2014-01-30,4,1250.0,1350.0,1350.0,0.0,7052.65,0.0,0
0222,0106,TN,2018-11-26,2019-01-21,8,1220.0,1420.0,1420.0,0.0,10173.74,0.0,0
0223,0106,FL,2017-08-28,2017-09-25,4,1290.0,1390.0,1390.0,0.0,9976.38,0.0,0
0224,0107,FL,2017-05-18,2017-06-15,4,730.0,830.0,830.0,0.0,4620.3,0.0,0
0225,0107,AL,2012-02-17,2012-05-11,12,890.0,1190.0,1190.04,0.0,4911.9,0.0,0
0226,0107,FL,2014-05-18,2014-06-15,4,980.0,1080.0,1080.0,0.0,4682.58,0.0,0
0227,0108,FL,2017-07-13,2017-09-07,8,1650.0,1850.0,1850.0,20.0,8340.31,0.0,0
0228,0109,TN,2016-06-13,2016-08-08,8,1420.0,1620.0,0.0,0.0,7114.95,5831.84,1
0229,0110,FL,2019-08-31,2019-11-23,12,1220.0,1520.0,1520.0400000000002,0.0,7831.07,0.0,0
0230,0111,FL,2012-06-01,2012-06-29,4,590.0,690.0,0.0,0.0,4260.84,3852.03,1
0231,0111,TN,2013-04-28,2013-05-26,4,510.0,610.0,610.0,0.0,4621.82,0.0,0
0232,0111,FL,2015-04-20,2015-05-18,4,510.0,610.0,610.0,0.0,5104.85,0.0,0
0233,0111,TN,2015-10-09,2016-01-01,12,950.0,1250.0,0.0,0.0,4824.9,4554.73,1
0234,0112,FL,2017-08-02,2017-09-27,8,1050.0,1250.0,1250.0,0.0,5329.68,0.0,0
0235,0112,FL,2014-02-22,2014-04-19,8,690.0,890.0,890.0,0.0,5959.98,0.0,0
0236,0113,TN,2017-07-01,2017-09-23,12,1180.0,1480.0,1479.9599999999998,20.0,5542.65,0.0,0
0237,0114,TN,2018-05-10,2018-07-05,8,490.0,690.0,690.0,20.0,2151.03,0.0,0
0238,0114,FL,2017-08-27,2017-09-24,4,600.0,700.0,700.0,0.0,3716.45,0.0,0
0239,0115,TN,2014-10-17,2015-01-09,12,1220.0,1520.0,1520.0400000000002,60.0,7917.2,0.0,0
0240,0115,FL,2017-07-29,2017-09-23,8,1280.0,1480.0,1480.0,0.0,7614.92,0.0,0
0241,0116,FL,2012-11-29,2013-01-24,8,2080.0,2280.0,2280.0,0.0,11176.3,0.0,0
0242,0117,TN,2019-05-15,2019-08-07,12,830.0,1130.0,1130.04,0.0,4186.58,0.0,0
0243,0118,FL,2013-02-12,2013-03-12,4,890.0,990.0,990.0,0.0,4851.92,0.0,0
0244,0118,FL,2014-12-01,2015-01-26,8,1110.0,1310.0,1310.0,0.0,6724.22,0.0,0
0245,0119,MS,2017-01-31,2017-02-28,4,1440.0,1540.0,1540.0,0.0,7369.75,0.0,0
0246,0120,TN,2015-07-04,2015-08-01,4,780.0,880.0,880.0,0.0,5296.84,0.0,0
0247,0120,FL,2014-09-05,2014-11-28,12,810.0,1110.0,1110.0,0.0,4199.06,0.0,0
0248,0121,FL,2017-08-31,2017-11-23,12,1000.0,1300.0,0.0,0.0,6534.78,6084.35,1
0249,0122,FL,2019-05-07,2019-06-04,4,1060.0,1160.0,1160.0,0.0,6338.3,0.0,0
0250,0122,TN,2017-11-17,2017-12-15,4,1180.0,1280.0,0.0,0.0,7468.42,5859.24,1
0251,0123,TN,2015-05-20,2015-08-12,12,700.0,1000.0,0.0,0.0,5750.23,4200.85,1
0252,0123,FL,2016-10-03,2016-12-26,12,1320.0,1620.0,1620.0,20.0,6717.4,0.0,0
0253,0123,MS,2012-02-19,2012-04-15,8,800.0,1000.0,1000.0,60.0,5577.53,0.0,0
0254,0123,FL,2017-04-12,2017-05-10,4,710.0,810.0,0.0,0.0,5607.57,5029.81,1
0255,0123,MS,2019-09-07,2019-10-05,4,1020.0,1120.0,1120.0,20.0,5627.99,0.0,0
0256,0124,TN,2017-10-08,2017-12-03,8,430.0,630.0,0.0,0.0,3879.29,3031.3,1
